Skill_Category,Skill,Importance_Level,Used_By_Companies,Relevant_Domains,Prerequisite_Skills,Portfolio_Project,Interview_Relevance,Learning_Path
Programming Language,Python,Essential,"Google, Microsoft, OpenAI, Amazon, Meta, NVIDIA","AI, ML, Data Engineering, Backend","Programming Basics","Build AI chatbot, data pipeline, automation tools","Very High","Python syntax -> OOP -> Libraries -> Production APIs"
Programming Language,Java,Essential,"Amazon, Google, Microsoft, Salesforce, Oracle","Backend, Enterprise Software, Cloud","Programming Basics","Build scalable REST API system","Very High","Java Core -> Collections -> Spring Boot -> Distributed Systems"
Programming Language,C++,Essential,"NVIDIA, Google, Apple, Tesla, Meta, Intel","Systems, AI Infrastructure, Embedded, Gaming","Programming Basics","Build database engine or high-performance application","Very High","C++ Basics -> Memory -> STL -> Systems Programming"
Programming Language,JavaScript,Essential,"Google, Meta, Amazon, Netflix, Shopify","Frontend, Full Stack, Web Applications","Programming Basics","Build full-stack web application","High","JS Basics -> Browser -> Frameworks"
Programming Language,TypeScript,Important,"Microsoft, Google, Airbnb, Atlassian","Frontend, Full Stack, Enterprise Apps","JavaScript","Build enterprise dashboard","High","Type System -> React -> Backend Integration"
Programming Language,Go (Golang),Important,"Google, Cloudflare, Uber, Kubernetes Ecosystem","Cloud, Infrastructure, Backend","Programming Basics","Build distributed service","Very High","Go Basics -> Concurrency -> Networking"
Programming Language,Rust,Emerging,"Cloudflare, Microsoft, Amazon, Mozilla","Systems, Security, Infrastructure","C++ Knowledge Helpful","Build secure systems tool","High","Ownership -> Memory Safety -> Systems"
Programming Language,Swift,Important,"Apple","iOS Development, Consumer Apps","Programming Basics","Build iOS application","High","Swift -> iOS SDK -> SwiftUI"
Programming Language,Kotlin,Important,"Google, Android Companies","Mobile Development, Backend","Java Knowledge","Build Android application","High","Kotlin -> Android SDK -> Architecture"
Programming Language,Ruby,Important,"Shopify, GitHub, Stripe","Web Platforms, SaaS","Programming Basics","Build web application","Medium","Ruby -> Rails -> APIs"
Computer Science,Data Structures and Algorithms,Essential,"All Top Companies","Software Engineering","Programming Basics","Solve algorithm problems","Extreme","Arrays -> Trees -> Graphs -> Dynamic Programming"
Computer Science,Object Oriented Programming,Essential,"All Enterprise Companies","Backend, Software Engineering","Programming Basics","Design scalable software modules","Very High","Classes -> Interfaces -> Design Patterns"
Computer Science,System Design,Essential,"Google, Amazon, Netflix, Uber, Meta","Backend, Cloud, Distributed Systems","Backend Programming","Design YouTube, Uber, Netflix systems","Extreme","Components -> Scaling -> Reliability"
