Rank,Skill/Subject,Commonality,Difficulty,ROI,Primary Roles,Priority Tier
1,Data Structures & Algorithms,5,4,5,All,Tier 1
2,Programming (C++/Java/Python),5,3,5,All,Tier 1
3,Operating Systems,5,4,5,All,Tier 1
4,Linux,5,3,5,All,Tier 1
5,Computer Networks,5,4,5,All,Tier 1
6,Databases (SQL + NoSQL),5,3,5,All,Tier 1
7,Object-Oriented Design & Design Patterns,4,3,4,Software Engineering,Tier 1
8,System Design,5,5,5,Backend/Infrastructure,Tier 2
9,Distributed Systems,4,5,5,Backend/Infrastructure,Tier 2
10,Cloud (AWS/GCP/Azure),4,3,4,Backend/Infrastructure,Tier 2
11,Docker & Kubernetes,4,4,4,Backend/Infrastructure,Tier 2
12,Computer Architecture,4,4,4,Systems/GPU,Tier 2
13,Probability & Statistics,3,4,4,AI/ML,Tier 3
14,Linear Algebra,3,4,4,AI/ML,Tier 3
15,Machine Learning,2,4,4,AI/ML,Tier 3
16,Deep Learning,2,5,5,AI/ML,Tier 3
17,Transformers & LLMs,2,5,5,AI/ML,Tier 3
18,PyTorch/TensorFlow,2,4,4,AI/ML,Tier 3
19,Cryptography,2,5,4,Security,Tier 3
20,CUDA/GPU Programming,1,5,5,GPU/HPC,Tier 3
21,Reverse Engineering,1,5,4,Security,Tier 3
22,Compiler Design,1,5,4,Compilers,Systems,Tier 3
